,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
420,2,1898.086314,32,36,35,34,35
421,2,1898.236378,34,35,35,35,35
422,2,1898.386292,33,35,36,35,37
423,2,1898.536387,35,36,34,34,34
424,2,1898.686288,35,33,33,36,34
425,2,1898.83633,34,35,35,35,35
426,2,1898.986305,33,33,35,35,34
427,2,1899.136312,35,35,36,36,35
428,2,1899.286287,36,37,37,34,36
429,2,1899.436332,34,36,34,36,37
430,2,1899.586292,35,34,36,34,36
431,2,1899.736369,34,36,36,33,36
432,2,1899.886342,36,34,35,35,36
433,2,1900.036369,35,34,34,34,37
434,2,1900.186346,34,34,35,35,34
435,2,1900.336301,33,35,36,34,36
436,2,1900.486311,34,34,35,36,36
437,2,1900.636302,36,35,33,36,34
438,2,1900.7863,34,35,35,35,35
439,2,1900.936299,34,34,37,36,35
440,2,1901.086292,35,36,34,37,36
441,2,1901.236302,34,36,35,37,34
442,3,1903.336271,34,34,34,33,36
443,3,1903.486304,35,36,36,35,35
444,3,1903.636302,34,33,35,35,37
445,3,1903.786297,36,36,35,36,33
446,3,1903.936312,35,34,36,34,36
447,3,1904.086304,33,34,33,34,37
448,3,1904.23651,34,36,35,34,36
449,3,1904.386306,35,34,34,36,37
450,3,1904.536297,35,35,33,36,38
451,3,1904.686307,35,35,36,36,36
452,3,1904.836312,34,35,35,35,36
453,3,1904.986307,33,36,36,35,35
454,3,1905.136301,34,36,34,35,38
455,3,1905.286316,36,36,34,36,37
456,3,1905.436301,33,36,35,34,35
457,3,1905.5863,34,34,34,37,37
458,3,1905.736299,32,36,36,36,39
459,3,1905.886312,34,35,34,35,35
460,3,1906.036297,34,32,35,35,34
461,3,1906.186304,33,34,35,37,34
462,3,1906.336309,32,37,33,38,36
463,3,1906.486304,36,34,37,33,35
464,3,1906.636296,34,34,33,36,37
465,3,1906.786314,35,33,35,36,35
466,3,1906.936348,33,35,35,34,35
467,3,1907.086287,36,35,37,35,34
468,3,1907.236278,34,35,33,34,35
469,3,1907.386286,36,34,36,35,37
470,3,1907.536279,36,36,35,36,35
471,3,1907.68628,33,34,34,35,37
472,3,1907.836282,37,34,35,36,36
473,3,1907.986291,33,35,35,34,36
474,3,1908.136299,31,35,34,35,37
475,3,1908.286292,36,35,35,35,36
476,3,1908.436308,34,35,35,33,36
477,3,1908.586295,35,35,36,34,35
478,3,1908.736302,34,35,35,36,34
479,3,1908.886302,35,35,36,35,34
480,3,1909.036305,34,35,36,35,37
481,3,1909.186306,35,35,35,35,36
482,3,1909.336303,35,35,34,36,37
483,3,1909.486313,33,34,35,35,34
484,3,1909.636308,35,34,36,34,35
485,3,1909.786314,33,35,36,36,34
486,3,1909.936306,33,32,34,33,35
487,3,1910.086323,35,36,35,35,36
488,3,1910.236314,34,34,35,37,35
489,3,1910.386316,34,35,36,35,35
490,3,1910.536315,36,36,36,36,35
491,3,1910.686308,34,34,36,35,36
492,3,1910.836329,35,33,34,34,34
493,3,1910.986314,34,35,38,35,34
494,3,1911.136313,34,35,33,35,34
495,3,1911.286332,37,37,38,36,38
496,3,1911.436324,39,38,36,38,38
497,3,1911.586305,37,38,38,38,38
498,3,1911.736323,36,36,37,36,38
499,3,1911.886328,37,37,37,36,36
500,3,1912.036329,36,36,36,37,36
501,3,1912.18633,37,38,37,36,38
502,3,1912.336319,34,40,38,38,39
503,3,1912.48631,36,40,38,41,39
504,3,1912.636323,37,39,39,41,39
505,3,1912.786327,37,39,39,40,39
506,3,1912.936309,39,37,38,38,40
507,3,1913.086335,37,38,39,40,40
508,3,1913.236306,40,39,40,38,38
509,3,1913.386329,39,38,41,39,39
510,3,1913.536336,38,38,39,42,39
511,3,1913.686332,39,40,40,38,39
512,3,1913.836306,38,39,38,40,36
513,3,1913.986323,38,38,40,41,40
514,3,1914.136292,39,38,40,40,41
515,3,1914.286309,40,39,40,39,41
516,3,1914.436304,37,37,41,38,39
517,3,1914.586527,39,40,41,38,39
518,3,1914.736345,39,38,40,37,38
519,3,1914.886348,38,40,41,39,38
520,3,1915.036344,39,38,37,38,40
521,3,1915.200156,37,36,39,39,36
522,3,1915.336284,35,36,37,37,37
523,3,1915.486322,35,36,35,36,33
524,3,1915.636299,35,35,36,36,37
525,3,1915.786301,35,34,36,34,33
526,3,1915.936299,35,33,35,34,35
527,3,1916.086296,34,33,36,36,35
528,3,1916.236298,35,35,35,34,33
529,3,1916.386316,33,33,32,35,35
530,3,1916.536336,34,32,34,37,34
531,3,1916.686382,32,33,34,34,33
532,3,1916.83631,33,32,33,34,33
533,3,1916.986305,33,32,33,33,34
534,3,1917.136298,31,35,31,33,34
535,3,1917.286365,32,32,32,34,33
536,3,1917.436314,32,34,32,34,32
537,3,1917.586388,33,32,31,33,33
538,3,1917.736314,32,30,32,34,32
539,3,1917.886325,32,33,32,32,32
540,3,1918.036321,31,32,31,34,34
541,3,1918.186324,31,31,34,32,31
542,3,1918.336302,32,31,31,32,32
543,3,1918.487957,32,33,32,31,34
544,3,1918.636301,33,32,31,33,34
545,3,1918.786309,30,31,33,34,34
546,3,1918.936297,30,32,31,32,33
547,3,1919.086312,32,32,34,34,35
548,3,1919.236306,31,33,32,31,33
549,3,1919.3863,32,34,32,32,30
