,t,x_ref_1,x_1,x_tof,x_tof_filtered,u_1,J,FSP_reading
997,3291.549211,28.80859375,28.80859375,80.0,79.62981104436214,2.0000000000000115,4.284993403859662,1.3024523160762942
998,3291.713571,28.80859375,28.80859375,80.0,79.68855634505098,2.0000000000000115,4.284993403859662,1.3123287671232877
999,3291.902113,28.80859375,28.80859375,78.0,79.67170481716069,2.0000000000000115,4.284993403859662,1.3087431693989071
1000,3292.071088,28.80859375,28.80859375,79.0,79.61498198081621,2.0000000000000115,4.284993403859662,1.3024523160762942
1001,3292.236133,45.8984375,28.80859375,80.0,79.58740848153816,23.0,812.1955532531315,1.2712765957446808
1002,3292.411124,45.8984375,36.1328125,77.0,79.56571280759782,23.0,591.6955532531317,1.238341968911917
1003,3292.577587,45.8984375,45.8984375,81.0,79.54297602876814,23.0,550.11519368055,1.231958762886598
1004,3292.743167,45.8984375,43.45703125,82.0,79.56691011125714,23.0,529.0309456881487,1.1920199501246882
1005,3292.900104,45.8984375,41.015625,81.0,79.65333143501161,23.0,530.6209828893516,1.1748768472906403
1006,3293.052746,45.8984375,45.8984375,82.0,79.75240019106403,23.0,534.6650366218196,1.1605839416058394
1007,3293.20573,45.8984375,45.8984375,83.0,79.83911628178771,23.0,529.0309456881487,1.1634146341463414
1008,3293.364322,45.8984375,45.8984375,85.0,79.97481607271985,23.0,529.0309456881487,1.1605839416058394
1009,3293.53781,45.8984375,48.33984375,82.0,80.14040128905256,23.0,529.0309456881487,1.1493975903614457
1010,3293.693702,45.8984375,45.8984375,81.0,80.24275658686422,23.0,529.8949250182104,1.1411483253588517
1011,3293.846756,45.8984375,45.8984375,85.0,80.31240301813006,23.0,529.0309456881487,1.143884892086331
1012,3293.999518,45.8984375,48.33984375,87.0,80.47246803752194,23.0,529.0309456881487,1.1384248210023866
1013,3294.152879,45.8984375,45.8984375,85.0,80.72248156141401,23.0,529.8949250182104,1.1384248210023866
1014,3294.31876,45.8984375,45.8984375,85.0,80.94183394644425,23.0,529.0309456881487,1.1357142857142857
1015,3294.475453,45.8984375,45.8984375,85.0,81.08992556079488,23.0,529.0309456881487,1.1357142857142857
1016,3294.629298,45.8984375,45.8984375,87.0,81.25433496753818,23.0,529.0309456881487,1.1330166270783848
1017,3294.782563,45.8984375,45.8984375,87.0,81.47791406532018,23.0,529.0309456881487,1.1411483253588517
1018,3294.954457,45.8984375,45.8984375,84.0,81.6819576928496,23.0,529.0309456881487,1.1411483253588517
1019,3295.120234,45.8984375,45.8984375,86.0,81.82596517078025,23.0,529.0309456881487,1.1384248210023866
1020,3295.277263,45.8984375,45.8984375,84.0,81.9341302022793,23.0,529.0309456881487,1.143884892086331
1021,3295.430471,45.8984375,45.8984375,88.0,82.07989778175946,23.0,529.0309456881487,1.1357142857142857
1022,3295.583404,45.8984375,45.8984375,82.0,82.22310442359745,23.0,529.0309456881487,1.1330166270783848
1023,3295.735779,45.8984375,45.8984375,86.0,82.32113191197402,23.0,529.0309456881487,1.1330166270783848
1024,3295.914899,45.8984375,45.8984375,88.0,82.44094046784048,23.0,529.0309456881487,1.1330166270783848
1025,3296.075875,45.8984375,45.8984375,86.0,82.62318418684791,23.0,529.0309456881487,1.127659574468085
1026,3296.228121,45.8984375,45.8984375,86.0,82.80889167122179,23.0,529.0309456881487,1.1330166270783848
1027,3296.389687,45.8984375,45.8984375,86.0,82.9326166669237,23.0,529.0309456881487,1.1357142857142857
1028,3296.543545,45.8984375,45.8984375,86.0,83.03686009405098,23.0,529.0309456881487,1.1330166270783848
